file_path,file_name,file_size,modification_time,file_hash,vectorized,vectorized_date,vectorized_model,chunk_count,figure_count,has_figure_descriptions,document_structure
D:\Local_LLM\RHEA_Paper_DB\Papers\grainBoundary\yao2025.pdf,yao2025.pdf,7583153,2025-07-19T22:28:12.992747,263e190a4183348092fcfa18051f2d59,True,2025-07-23T09:52:45.839354,nomic-embed-text:latest,2,12,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\grainBoundary\zhang2025microstructure.pdf,zhang2025microstructure.pdf,17021533,2025-07-20T13:36:41.312501,a2774caa4cc41384d535b5a392146efc,True,2025-07-23T09:57:00.906398,nomic-embed-text:latest,2,22,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\SSS\ma2025.pdf,ma2025.pdf,12398901,2025-07-23T07:44:55.789566,a75edbd43867a04ce7ad97e22c55d74a,True,2025-07-23T10:01:23.571290,nomic-embed-text:latest,2,6,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\grainBoundary\naseer2025designing.pdf,naseer2025designing.pdf,13028651,2025-07-23T10:56:46.609112,cc221fdfbd5953d09fd7bcdbd221a519,True,2025-07-23T10:59:12.579786,nomic-embed-text:latest,2,9,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\grainBoundary\senkov2011mechanical.pdf,senkov2011mechanical.pdf,2586177,2025-07-23T10:56:03.001985,f35d0fc966d568d9c6154d9a70e31045,True,2025-07-23T10:59:41.141663,nomic-embed-text:latest,2,4,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\Precipitation\cai2025coherent.pdf,cai2025coherent.pdf,19558831,2025-07-23T10:54:05.847699,7476cc934b374b88f2d73454b0806eee,True,2025-07-23T11:01:44.533142,nomic-embed-text:latest,2,10,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\Precipitation\jin2023high.pdf,jin2023high.pdf,15051833,2025-07-23T10:54:46.302701,beb6202bc6c30bc5b8ad3da7a3021238,True,2025-07-23T11:03:23.224084,nomic-embed-text:latest,2,8,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\Precipitation\zhou5032838effect.pdf,zhou5032838effect.pdf,20568945,2025-07-23T10:53:20.689718,1504bfeee6cc65345d20e4ab6303f166,True,2025-07-23T11:05:23.826446,nomic-embed-text:latest,2,10,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\SSS\hu2025strong.pdf,hu2025strong.pdf,6961566,2025-07-23T10:48:11.925222,392cc0d79be60e9ada0f7b0754f831a8,True,2025-07-23T11:06:23.258035,nomic-embed-text:latest,2,5,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\SSS\zhou2025strategies.pdf,zhou2025strategies.pdf,11974411,2025-07-23T10:47:23.248797,9159f972dfad3bd9a4ea434004d82533,True,2025-07-23T11:07:15.407398,nomic-embed-text:latest,2,5,True,parent-child
